wavelength(nm)	a(/cm)
250	1.84E+06
260	1.97E+06
270	2.18E+06
280	2.36E+06
290	2.24E+06
300	1.73E+06
310	1.44E+06
320	1.28E+06
330	1.17E+06
340	1.09E+06
350	1.04E+06
360	1.02E+06
370	6.97E+05
380	2.93E+05
390	1.50E+05
400	9.52E+04
410	6.74E+04
420	5.00E+04
430	3.92E+04
440	3.11E+04
450	2.55E+04
460	2.10E+04
470	1.72E+04
480	1.48E+04
490	1.27E+04
500	1.11E+04
510	9.70E+03
520	8.80E+03
530	7.85E+03
540	7.05E+03
550	6.39E+03
560	5.78E+03
570	5.32E+03
580	4.88E+03
590	4.49E+03
600	4.14E+03
610	3.81E+03
620	3.52E+03
630	3.27E+03
640	3.04E+03
650	2.81E+03
660	2.58E+03
670	2.38E+03
680	2.21E+03
690	2.05E+03
700	1.90E+03
710	1.77E+03
720	1.66E+03
730	1.54E+03
740	1.42E+03
750	1.30E+03
760	1.19E+03
770	1.10E+03
780	1.01E+03
790	9.28E+02
800	8.50E+02
810	7.75E+02
820	7.07E+02
830	6.47E+02
840	5.91E+02
850	5.35E+02
860	4.80E+02
870	4.32E+02
880	3.83E+02
890	3.43E+02
900	3.06E+02
910	2.72E+02
920	2.40E+02
930	2.10E+02
940	1.83E+02
950	1.57E+02
960	1.34E+02
970	1.14E+02
980	9.59E+01
990	7.92E+01
1000	6.40E+01
1010	5.11E+01
1020	3.99E+01
1030	3.02E+01
1040	2.26E+01
1050	1.63E+01
1060	1.11E+01
1070	8.00E+00
1080	6.20E+00
1090	4.70E+00
1100	3.50E+00
1110	2.70E+00
1120	2.00E+00
1130	1.50E+00
1140	1.00E+00
1150	6.80E-01
1160	4.20E-01
1170	2.20E-01
1180	6.50E-02
1190	3.60E-02
1200	2.20E-02
1210	1.30E-02
1220	8.20E-03
1230	4.70E-03
1240	2.40E-03
1250	1.00E-03
1260	3.60E-04
1270	2.00E-04
1280	1.20E-04
1290	7.10E-05
1300	4.50E-05
1310	2.70E-05
1320	1.60E-05
1330	8.00E-06
1340	3.50E-06
1350	1.70E-06
1360	1.00E-06
1370	6.70E-07
1380	4.50E-07
1390	2.50E-07
1400	2.00E-07
1410	1.50E-07
1420	8.50E-08
1430	7.70E-08
1440	4.20E-08
1450	3.20E-08

